"player1","player2","win1","win2"
"Camila Osorio","Harmony Tan",2,0
"Camila Osorio","Ipek Oz",1,0
"Camila Osorio","Kamilla Rakhimova",1,0
"Camila Osorio","Laura Pigossi",0,1
"Camila Osorio","Lucia Bronzetti",1,0
"Camila Osorio","Madison Brengle",0,1
"Camila Osorio","Magda Linette",1,0
"Camila Osorio","Shuai Zhang",1,0
"Camila Osorio","Stefanie Voegele",1,0
"Camila Osorio","Tamara Zidansek",1,0
"Camila Osorio","Tereza Martincova",1,0
"Camila Osorio","Victoria Azarenka",0,1
"Caroline Garcia","Chloe Paquet",1,0
"Caroline Garcia","Clara Burel",0,1
"Caroline Garcia","Elisabetta Cocciaretto",3,0
"Caroline Garcia","Iga Swiatek",1,0
"Caroline Garcia","Jasmine Paolini",2,0
"Caroline Garcia","Jule Niemeier",0,1
"Caroline Garcia","Katerina Siniakova",0,1
"Caroline Garcia","Laura Siegemund",1,0
"Caroline Garcia","Leolia Jeanjean",1,0
"Caroline Garcia","Lucia Bronzetti",0,1
"Caroline Garcia","Madison Keys",0,1
"Caroline Garcia","Misaki Doi",1,0
"Caroline Garcia","Paula Ormaechea",1,0
"Caroline Garcia","Petra Martic",0,1
"Caroline Garcia","Polona Hercog",0,1
"Caroline Garcia","Sara Sorribes Tormo",1,0
"Caroline Garcia","Veronika Kudermetova",0,1
"Caroline Garcia","Zarina Diyas",2,0
"Caty Mcnally","Elena Rybakina",1,0
"Caty Mcnally","Paula Badosa",0,1
"Caty Mcnally","Shelby Rogers",0,1
"Caty Mcnally","Sloane Stephens",0,1
"Chloe Paquet","Liudmila Samsonova",0,1
"Chloe Paquet","Magda Linette",0,1
"Chloe Paquet","Mayar Sherif",0,1
"Chloe Paquet","Stefanie Voegele",0,1
"Christina Mchale","Sara Errani",1,0
"Christina Mchale","Shelby Rogers",0,1
"Christina Mchale","Vera Zvonareva",0,1
"Claire Liu","Heather Watson",1,0
"Claire Liu","Kamilla Rakhimova",1,0
"Claire Liu","Martina Trevisan",0,1
"Claire Liu","Mayar Sherif",1,0
"Claire Liu","Paula Badosa",0,1
"Claire Liu","Shelby Rogers",0,1
"Claire Liu","Shuai Zhang",1,0
"Storm Sanders","Claire Liu",0,1
"Claire Liu","Tamara Zidansek",0,1
"Clara Burel","Danka Kovinic",0,1
"Clara Burel","Ekaterina Alexandrova",0,1
"Clara Burel","Fiona Ferro",1,0
"Clara Burel","Jasmine Paolini",0,1
"Clara Burel","Kamilla Rakhimova",1,0
"Clara Burel","Lin Zhu",1,0
"Clara Burel","Lucia Bronzetti",0,1
"Clara Burel","Maria Sakkari",0,1
"Clara Burel","Panna Udvardy",1,0
"Clara Burel","Sara Sorribes Tormo",0,1
"Clara Burel","Tamara Zidansek",0,1
"Clara Burel","Varvara Gracheva",1,0
"Clara Tauson","Ekaterine Gorgodze",1,0
"Clara Tauson","Katerina Siniakova",0,1
"Clara Tauson","Liudmila Samsonova",1,0
"Clara Tauson","Marta Kostyuk",0,1
"Clara Tauson","Victoria Azarenka",0,1
"Coco Vandeweghe","Jessica Pegula",1,0
"Coco Vandeweghe","Lauren Davis",1,1
"Cori Gauff","Daria Kasatkina",0,1
"Cori Gauff","Elise Mertens",1,0
"Cori Gauff","Iga Swiatek",0,2
"Cori Gauff","Jennifer Brady",1,0
"Cori Gauff","Kaia Kanepi",2,0
"Cori Gauff","Karolina Pliskova",0,1
"Cori Gauff","Katerina Siniakova",1,0
"Cori Gauff","Lauren Davis",1,0
"Cori Gauff","Liudmila Samsonova",1,0
"Cori Gauff","Madison Brengle",1,0
"Cori Gauff","Maria Sakkari",1,1
"Cori Gauff","Martina Trevisan",1,0
"Cori Gauff","Ons Jabeur",1,1
"Cori Gauff","Qiang Wang",2,0
"Cori Gauff","Simona Halep",0,1
"Cori Gauff","Sloane Stephens",1,0
"Cori Gauff","Yulia Putintseva",2,0
"Cristina Bucsa","Danka Kovinic",1,0
"Cristina Bucsa","Katerina Siniakova",0,1
"Cristina Bucsa","Kristina Mladenovic",1,0
"Cristina Bucsa","Nuria Parrizas Diaz",0,1
"Cristina Bucsa","Shuai Zhang",0,1
"Cristina Bucsa","Simona Waltert",0,1
"Dalma Galfi","Maryna Zanevska",0,1
"Dalma Galfi","Olga Danilovic",1,1
"Dalma Galfi","Ulrikke Eikeri",1,0
"Dalma Galfi","Yulia Putintseva",0,1
"Danielle Collins","Elena Gabriela Ruse",1,1
"Danielle Collins","Kristina Kucova",1,0
"Danielle Collins","Paula Ormaechea",1,0
"Danielle Collins","Reka Luca Jani",1,0
"Serena Williams","Danielle Collins",1,0
"Danielle Collins","Shelby Rogers",0,1
"Danielle Collins","Shuai Zhang",1,0
"Danielle Collins","Simona Halep",1,0
"Danielle Collins","Simona Waltert",0,1
"Danielle Collins","Viktoriya Tomova",1,0
"Danielle Collins","Xiyu Wang",1,0
"Danka Kovinic","Gabriela Lee",1,0
"Danka Kovinic","Iga Swiatek",0,1
"Danka Kovinic","Jasmine Paolini",1,1
"Danka Kovinic","Lauren Davis",1,0
"Danka Kovinic","Leylah Fernandez",1,0
"Danka Kovinic","Liudmila Samsonova",1,0
"Danka Kovinic","Maria Sakkari",0,1
"Danka Kovinic","Oceane Dodin",1,0
"Danka Kovinic","Ons Jabeur",1,1
"Danka Kovinic","Paula Badosa",0,1
"Danka Kovinic","Petra Kvitova",1,0
"Danka Kovinic","Shelby Rogers",1,0
"Danka Kovinic","Sloane Stephens",1,1
"Danka Kovinic","Veronika Kudermetova",0,1
"Danka Kovinic","Viktoriya Tomova",1,0
"Danka Kovinic","Yulia Putintseva",1,0
"Daria Kasatkina","Iga Swiatek",0,1
"Daria Kasatkina","Irina Camelia Begu",1,0
"Daria Kasatkina","Jessica Pegula",0,1
"Daria Kasatkina","Jil Teichmann",1,0
